Using local dictionary
Records jb2_start_of_image:	1 (0.000000 Kb, Avg.: 0.000000 b)
Records jb2_new_symbol_add_to_image_and_library:	386 (16.240000 Kb, Avg.: 43.098446 b)
Records jb2_new_symbol_add_to_library_only:	0 (0.000000 Kb)
Records jb2_new_symbol_add_to_image_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_with_refinement_add_to_image_and_library:	789 (14.940000 Kb, Avg.: 19.397972 b)
Records jb2_matched_symbol_with_refinement_add_to_library_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_with_refinement_add_to_image_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_copy_to_image_without_refinement:	1 (0.000000 Kb, Avg.: 2.000000 b)
Records jb2_non_symbol_data:	0 (0.000000 Kb)
Records jb2_require_dictionary_or_reset:	0 (0.000000 Kb)
Records jb2_comment:	0 (0.000000 Kb)
Records jb2_end_of_data:	0 (0.000000 Kb)
Shared dictionary usage count:	0 (0.000000 Kb)
Local dictionary usage count:	1 (0.000000 Kb, Avg.: 2.000000 b)
Elements on page:	1 (1.140000 Kb, Avg.: 1176.000000 b)
Unique bitmaps used on page:	0 (0.000000 Kb)
Bitmaps added to local dictionary:	1175 (31.190000 Kb, Avg.: 27.183830 b)
