Using local dictionary
Records jb2_start_of_image:	1 (0.000000 Kb, Avg.: 0.000000 b)
Records jb2_new_symbol_add_to_image_and_library:	482 (16.040000 Kb, Avg.: 34.097510 b)
Records jb2_new_symbol_add_to_library_only:	0 (0.000000 Kb)
Records jb2_new_symbol_add_to_image_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_with_refinement_add_to_image_and_library:	972 (18.370000 Kb, Avg.: 19.361111 b)
Records jb2_matched_symbol_with_refinement_add_to_library_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_with_refinement_add_to_image_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_copy_to_image_without_refinement:	9 (0.020000 Kb, Avg.: 2.888889 b)
Records jb2_non_symbol_data:	0 (0.000000 Kb)
Records jb2_require_dictionary_or_reset:	0 (0.000000 Kb)
Records jb2_comment:	0 (0.000000 Kb)
Records jb2_end_of_data:	0 (0.000000 Kb)
Shared dictionary usage count:	0 (0.000000 Kb)
Local dictionary usage count:	9 (0.020000 Kb, Avg.: 2.888889 b)
Elements on page:	1 (1.420000 Kb, Avg.: 1463.000000 b)
Unique bitmaps used on page:	0 (0.000000 Kb)
Bitmaps added to local dictionary:	1454 (34.420000 Kb, Avg.: 24.246217 b)
