Using local dictionary
Records jb2_start_of_image:	1 (0.000000 Kb, Avg.: 0.000000 b)
Records jb2_new_symbol_add_to_image_and_library:	329 (21.050000 Kb, Avg.: 65.528875 b)
Records jb2_new_symbol_add_to_library_only:	0 (0.000000 Kb)
Records jb2_new_symbol_add_to_image_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_with_refinement_add_to_image_and_library:	380 (7.410000 Kb, Avg.: 19.968421 b)
Records jb2_matched_symbol_with_refinement_add_to_library_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_with_refinement_add_to_image_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_copy_to_image_without_refinement:	7 (0.010000 Kb, Avg.: 2.857143 b)
Records jb2_non_symbol_data:	0 (0.000000 Kb)
Records jb2_require_dictionary_or_reset:	0 (0.000000 Kb)
Records jb2_comment:	0 (0.000000 Kb)
Records jb2_end_of_data:	0 (0.000000 Kb)
Shared dictionary usage count:	0 (0.000000 Kb)
Local dictionary usage count:	7 (0.010000 Kb, Avg.: 2.857143 b)
Elements on page:	1 (0.690000 Kb, Avg.: 716.000000 b)
Unique bitmaps used on page:	0 (0.000000 Kb)
Bitmaps added to local dictionary:	709 (28.460000 Kb, Avg.: 41.110014 b)
